Ticker,period_end,Total Revenue,Cost Of Revenue,Gross Profit,Research Development,Selling General Administrative,Operating Expense,Other Operating Expenses,Operating Income,Total Other Income Expense Net,Ebit,Interest Expense,Income Before Tax,Tax Provision,Minority Interest,Net Income From Continuing Ops,Discontinued Operations,Extraordinary Items,Effect Of Accounting Charges,Other Items,Net Income,Net Income Applicable To Common Shares,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Normalized Income,Depreciation,Depreciation & Amortization,Depreciation Depletion & Amortization,Preferred Dividends,Net Interest Income,Provision for Loan Losses,Total Premiums Earned
ACS.MC,2024-12-31 00:00:00,41633120000.0,28284489000.0,13348631000.0,,,12523948000.0,2665056000.0,824683000.0,,,719300000.0,,-86479000.0,,,,,,,827580000.0,,3.11037,3.11037,266052034.0,266052034.0,435343962.0,,,,,-408086000.0,,
ACX.MC,2024-12-31 00:00:00,5413128000.0,3553243000.0,1859885000.0,,,1652161000.0,809289000.0,207724000.0,,,108114000.0,,126955000.0,,,,,,,224946000.0,,0.9,0.9,249335371.0,249335371.0,129779894.148746,,,,,-19870000.0,,
AMS.MC,2024-12-31 00:00:00,6141700000.0,3486700000.0,2655000000.0,,,1027400000.0,327200000.0,1627600000.0,,,108600000.0,,295600000.0,,,,,,,1253000000.0,,2.87,2.79,436069462.0,452096083.0,1247094300.0,,,,,-87100000.0,,
ANA.MC,2024-12-31 00:00:00,19190000000.0,7059000000.0,12131000000.0,,,11112000000.0,411000000.0,1019000000.0,,,658000000.0,,156000000.0,,,,,,,422000000.0,,,,,,312141176.470588,,,,,-495000000.0,,
ANE.MC,2024-12-31 00:00:00,3048000000.0,1862000000.0,1186000000.0,,,612000000.0,433000000.0,574000000.0,,,165000000.0,,95000000.0,,,,,,,357000000.0,,1.1,1.1,324397668.0,324397668.0,251016597.510373,,,,,-195000000.0,,
BBVA.MC,2024-12-31 00:00:00,39235000000.0,,,,,,,,,,36394000000.0,,4830000000.0,,,,,,,10054000000.0,,1.68,1.68,5769000000.0,5769000000.0,11596978000.0,,,,,25267000000.0,,
BKT.MC,2024-12-31 00:00:00,3082391000.0,,,,,1270432000.0,236925000.0,,,,2121379000.0,,406727000.0,,,,,,,952971000.0,,1.06,1.03,898866000.0,898866000.0,1042002822.5,,,,,2278410000.0,,
CABK.MC,2024-12-31 00:00:00,17039000000.0,,,,,7801000000.0,1616000000.0,,,,9789000000.0,,2525000000.0,,,,,,,5787000000.0,,0.76,0.76,7262000000.0,7262000000.0,5870940000.0,,,,,11108000000.0,,
CLNX.MC,2024-12-31 00:00:00,4070205000.0,,,,,3486442000.0,864655000.0,583763000.0,,,816463000.0,,-657779000.0,,,,,,,-28043000.0,,-0.039684,-0.039684,705571553.0,705571553.0,282409750.0,,,,,-870148000.0,,
COL.MC,2024-12-31 00:00:00,502412000.0,92344000.0,410068000.0,,,91635000.0,45014000.0,318433000.0,,,106422000.0,,-35003000.0,,,,,,,307395000.0,,0.53,0.53,576863000.0,576863000.0,296955750.0,,,,,-80857000.0,,
AENA.MC,2024-12-31 00:00:00,5763531000.0,1633254000.0,4130277000.0,,,1506826000.0,1562519000.0,2623451000.0,,,245748000.0,,583652000.0,,,,,,,1934224000.0,,1.289,1.289,1500561676.0,1500561676.0,1916042187.032805,,,,,-141704000.0,,
ELE.MC,2024-12-31 00:00:00,20927000000.0,13438000000.0,7489000000.0,,,3309000000.0,717000000.0,4180000000.0,,,457000000.0,,696000000.0,,,,,,,1888000000.0,,1.78,1.78,1058458650.0,1058458650.0,2784206000.0,,,,,-435000000.0,,
ENG.MC,2024-12-31 00:00:00,905546000.0,59363000.0,846183000.0,,,558430000.0,94270000.0,287753000.0,,,106225000.0,,-13942000.0,,,,,,,-299309000.0,,-1.1467,-1.1467,261029000.0,261029000.0,358406538.641866,,,,,-58966000.0,,
FDR.MC,2024-12-31 00:00:00,2136402000.0,887929000.0,1248473000.0,,,980811000.0,164389000.0,267662000.0,,,63395000.0,,51032000.0,,,,,,,138068000.0,,0.72731,0.72731,189833227.0,189833227.0,143132609.522034,,,,,-67545000.0,,
FER.MC,2024-12-31 00:00:00,9147000000.0,1115000000.0,8032000000.0,,,7131000000.0,4219000000.0,901000000.0,,,477000000.0,,145000000.0,,,,,,,3239000000.0,,4.47,4.47,724191000.0,724191000.0,545640000.0,,,,,-309000000.0,,
GRF.MC,2024-12-31 00:00:00,7212382000.0,4417844000.0,2794538000.0,,,1639327000.0,,1155211000.0,,,602571000.0,,231190000.0,,,,,,,156920000.0,,0.23,0.23,679668551.0,679916715.0,192091250.0,,,,,-701124000.0,,
IAG.MC,2024-12-31 00:00:00,32100000000.0,24521000000.0,7579000000.0,,,3278000000.0,1120000000.0,4301000000.0,,,902000000.0,,831000000.0,,,,,,,2732000000.0,,0.557,0.555,4903453000.0,5259658000.0,2836312000.0,,,,,-450000000.0,,
IBE.MC,2024-12-31 00:00:00,44739000000.0,20863000000.0,23876000000.0,,,12108000000.0,6793000000.0,11768000000.0,,,1997000000.0,,2150000000.0,,,,,,,5612000000.0,,0.837,0.835,6440265033.0,6456292802.0,7125490000.0,,,,,-1685000000.0,,
IDR.MC,2024-12-31 00:00:00,4842857000.0,3161296000.0,1681561000.0,,,1234789000.0,308606000.0,446772000.0,,,52074000.0,,105981000.0,,,,,,,277541000.0,,1.5799,1.5799,175672641.0,175672641.0,276840167.0,,,,,-54694000.0,,
ITX.MC,2025-01-31 00:00:00,38632000000.0,16288000000.0,22343000000.0,,,14670000000.0,1227000000.0,7673000000.0,,,353000000.0,,1700000000.0,,,,,,,5866000000.0,,1.884,1.881,3114452983.0,3118553961.0,5958300778.672298,,,,,89000000.0,,
LOG.MC,2024-09-30 00:00:00,12985534000.0,11228784000.0,1756750000.0,,,1437129000.0,779948000.0,319621000.0,,,8319000.0,,110910000.0,,,,,,,308235000.0,,2.34,2.34,131938000.0,131938000.0,304428435.0,,,,,93029000.0,,
MAP.MC,2024-12-31 00:00:00,25833400000.0,,,,,,279900000.0,,,,,,512500000.0,,,,,,,967500000.0,,0.315,0.315,3067400000.0,3067400000.0,1040749533.288885,,,,,122600000.0,,
MRL.MC,2024-12-31 00:00:00,494572000.0,,,,,117089000.0,71406000.0,377483000.0,,,130214000.0,,12195000.0,,,,,,,283759000.0,,0.56,0.56,509857000.0,509857000.0,285615225.710752,,,,,-92598000.0,,
MTS.MC,2024-12-31 00:00:00,62441000000.0,56653000000.0,5788000000.0,,,2680000000.0,202000000.0,3108000000.0,,,510000000.0,,1535000000.0,,,,,,,1339000000.0,,1.7,1.69,788000000.0,791000000.0,1778240000.0,,,,,-407000000.0,,
NTGY.MC,2024-12-31 00:00:00,19267000000.0,11565000000.0,7702000000.0,,,3941000000.0,2001000000.0,3761000000.0,,,490000000.0,,835000000.0,,,,,,,1901000000.0,,,,,,1989510000.0,,,,,-465000000.0,,
PUIG.MC,2024-12-31 00:00:00,4789779000.0,1201679000.0,3588100000.0,,,2838714000.0,9328000.0,749386000.0,,,76807000.0,,149973000.0,,,,,,,530649000.0,,0.98,0.98,540509079.0,540509079.0,638153334.0,,,,,29648000.0,,
RED.MC,2024-12-31 00:00:00,1594204000.0,-38319000.0,1632523000.0,,,924112000.0,401259000.0,708411000.0,,,143572000.0,,148791000.0,,,,,,,368438000.0,,0.68,0.68,541080000.0,541080000.0,507083817.2,,,,,-94029000.0,,
REP.MC,2024-12-31 00:00:00,57122000000.0,46216000000.0,10906000000.0,,,8299000000.0,4710000000.0,2607000000.0,,,501000000.0,,562000000.0,,,,,,,1756000000.0,,1.43,1.43,1183000000.0,1183000000.0,2298596685.082873,,,,,129000000.0,,
ROVI.MC,2024-12-31 00:00:00,763749000.0,285403000.0,478346000.0,,,298801000.0,95682000.0,179545000.0,,,1988000.0,,40814000.0,,,,,,,136881000.0,,2.676097,2.676097,51149498.0,51149498.0,136818630.0,,,,,-2091000.0,,
SAB.MC,2024-12-31 00:00:00,6543842000.0,,,,,3501423000.0,524236000.0,,,,4692057000.0,,685272000.0,,,,,,,1826805000.0,,0.32,0.32,5376450440.0,5376450440.0,1912119563.8,,,,,5021335000.0,,
SAN.MC,2024-12-31 00:00:00,63842000000.0,,,,,,,,,,66067000000.0,,5283000000.0,,,,,,,12574000000.0,,0.771,0.768,15497607269.0,15567717839.0,13039161200.0,,,,,46668000000.0,,
SCYR.MC,2024-12-31 00:00:00,4571004000.0,1451202000.0,3119802000.0,,,1893452000.0,1287021000.0,1226350000.0,,,749318000.0,,171724000.0,,,,,,,113373000.0,,0.15,0.15,734622000.0,734622000.0,82092205.6,,,,,-707626000.0,,
SLR.MC,2024-12-31 00:00:00,176906000.0,2033000.0,174873000.0,,,46123000.0,11688000.0,128750000.0,,,38096000.0,,31529000.0,,,,,,,88614000.0,,,,,,67298196.332704,,,,,-37552000.0,,
